Year,Temperature
1901,25.42
1902,25.42
1903,25.01
1904,24.93
1905,24.84
1906,25.18
1907,25.02
1908,25
1909,24.96
1910,24.84
1911,25.08
1912,25.2
1913,24.95
1914,25.07
1915,25.44
1916,25.08
1917,24.54
1918,24.96
1919,25.15
1920,25.14
1921,25.45
1922,25.18
1923,25.16
1924,25.3
1925,24.97
1926,25.14
1927,25.01
1928,25.31
1929,25.15
1930,25.01
1931,25.45
1932,25.25
1933,24.91
1934,25.06
1935,25.05
1936,25.11
1937,25
1938,25.1
1939,25.09
1940,24.97
1941,25.61
1942,25.26
1943,24.84
1944,24.86
1945,24.69
1946,25.29
1947,25.35
1948,25.29
1949,25.16
1950,24.88
1951,25.33
1952,25.41
1953,25.58
1954,25.24
1955,25.02
1956,24.95
1957,25.15
1958,25.75
1959,25.36
1960,25.39
1961,24.97
1962,25.05
1963,25.24
1964,25.23
1965,25.23
1966,25.52
1967,25.17
1968,25.09
1969,25.58
1970,25.23
1971,24.83
1972,25.22
1973,25.37
1974,25.08
1975,24.84
1976,25.11
1977,25.29
1978,25.13
1979,25.62
1980,25.6
1981,25.29
1982,25.25
1983,25.12
1984,25.22
1985,25.4
1986,25.23
1987,25.65
1988,25.55
1989,25.15
1990,25.26
1991,25.39
1992,25.25
1993,25.46
1994,25.39
1995,25.46
1996,25.42
1997,25.35
1998,25.72
1999,25.57
2000,25.53
2001,25.6
2002,25.74
2003,25.61
2004,25.65
2005,25.58
2006,25.72
2007,25.67
2008,25.55
2009,26.05
2010,26.03
2011,25.62
2012,25.6
2013,25.68
2014,25.73
2015,25.92
2016,26.2
2017,26.04
2018,25.9
2019,25.86
2020,25.78
2021,25.93
